case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta
wrpy_v21_default_seq_noheap,816,0,v21_residual_verification_reject,residual_chi2_worse,0.030840,0.018000,2.820011,176,0.030599,2.836877,15.282689,12.445812,-0.626506
wrpy_v21_default_seq_noheap,817,0,v21_residual_verification_reject,residual_chi2_worse,0.054004,0.018000,4.938069,134,0.027669,2.593929,76.574208,73.980279,-0.927419
wrpy_v21_default_seq_noheap,818,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023914,0.018000,2.186708,128,0.024414,2.643208,3.527139,0.883931,-0.096491
wrpy_v21_default_seq_noheap,822,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.020983,0.018000,1.791045,217,0.045247,2.541173,3.508082,0.966910,-0.111628
wrpy_v21_default_seq_noheap,823,0,v21_residual_verification_reject,residual_chi2_worse,0.024095,0.018000,2.056694,165,0.032878,2.558067,5.236076,2.678009,-0.254545
wrpy_v21_default_seq_noheap,824,0,v21_residual_verification_reject,residual_chi2_worse,0.024014,0.018000,1.974285,137,0.028320,2.572294,4.632354,2.060060,-0.237037
wrpy_v21_default_seq_noheap,825,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.022472,0.018000,1.749477,106,0.022786,2.844846,3.833971,0.989125,-0.190000
wrpy_v21_default_seq_noheap,826,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.020822,0.018000,1.517902,202,0.040365,2.270933,2.969059,0.698126,-0.052910
wrpy_v21_default_seq_noheap,827,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.020324,0.018000,1.386003,139,0.029948,2.740050,3.064180,0.324130,-0.066176
wrpy_v21_default_seq_noheap,828,0,v21_residual_verification_reject,residual_chi2_worse,0.027145,0.018000,1.668563,122,0.027995,2.901233,7.431914,4.530681,-0.353448
wrpy_v21_default_seq_noheap,829,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.022556,0.018000,1.304803,187,0.035156,2.542984,4.301108,1.758124,-0.188571
wrpy_v21_default_seq_noheap,830,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.021929,0.018000,1.229806,148,0.027018,2.421566,3.507904,1.086339,-0.136054
wrpy_v21_default_seq_noheap,831,0,v21_residual_verification_reject,residual_chi2_worse,0.028584,0.018000,1.541450,239,0.047201,2.386252,15.535191,13.148939,-0.530973
wrpy_v21_default_seq_noheap,832,0,v21_residual_verification_reject,residual_chi2_worse,0.027356,0.018000,1.399068,131,0.029297,2.915515,11.082811,8.167296,-0.430769
wrpy_v21_default_seq_noheap,833,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023159,0.018000,1.096227,151,0.029948,2.848971,4.327053,1.478083,-0.214286
wrpy_v21_default_seq_noheap,834,0,v21_residual_verification_reject,residual_chi2_worse,0.035885,0.018000,1.698595,164,0.033203,2.754289,19.115307,16.361018,-0.719745
wrpy_v21_default_seq_noheap,835,0,v21_residual_verification_reject,residual_chi2_worse,0.052183,0.018000,2.350524,102,0.023112,2.656812,43.052558,40.395746,-0.927083
wrpy_v21_default_seq_noheap,836,0,v21_residual_verification_reject,residual_chi2_worse,0.030794,0.018000,1.360375,114,0.027018,2.628524,9.049022,6.420497,-0.377358
wrpy_v21_default_seq_noheap,837,0,v21_residual_verification_reject,residual_chi2_worse,0.044627,0.018000,1.906516,103,0.022461,2.399179,24.137041,21.737862,-0.795918
wrpy_v21_default_seq_noheap,838,0,v21_residual_verification_reject,residual_chi2_worse,0.038487,0.018000,1.599989,96,0.022786,2.694518,24.949738,22.255220,-0.670213
wrpy_v21_default_seq_noheap,839,0,v21_residual_verification_reject,residual_chi2_worse,0.035856,0.018000,1.415272,112,0.026042,2.458711,10.961264,8.502553,-0.463636
wrpy_v21_default_seq_noheap,840,0,v21_residual_verification_reject,residual_chi2_worse,0.045025,0.018000,1.676276,158,0.031576,2.446812,27.454804,25.007993,-0.831169
wrpy_v21_default_seq_noheap,841,0,v21_residual_verification_reject,residual_chi2_worse,0.051231,0.018000,1.879967,125,0.027995,2.570306,42.829694,40.259388,-0.826446
wrpy_v21_default_seq_noheap,842,0,v21_residual_verification_reject,residual_chi2_worse,0.036700,0.018000,1.272727,158,0.032227,2.217263,12.396388,10.179126,-0.532051
wrpy_v21_default_seq_noheap,843,0,v21_residual_verification_reject,residual_chi2_worse,0.027383,0.018000,0.897406,168,0.033854,2.330715,5.021892,2.691177,-0.203593
wrpy_v21_default_seq_noheap,844,0,v21_residual_verification_reject,residual_chi2_worse,0.039772,0.018000,1.379259,161,0.034180,2.074763,13.680997,11.606233,-0.607595
wrpy_v21_default_seq_noheap,845,0,v21_residual_verification_reject,residual_chi2_worse,0.049843,0.018000,1.728495,87,0.020833,3.078497,30.227536,27.149039,-0.823529
wrpy_v21_default_seq_noheap,846,0,v21_residual_verification_reject,residual_chi2_worse,0.034165,0.018000,1.184802,144,0.031901,2.275921,10.119513,7.843591,-0.333333
wrpy_v21_default_seq_noheap,847,0,v21_residual_verification_reject,residual_chi2_worse,0.031643,0.018000,1.111370,191,0.039062,2.462227,7.954187,5.491961,-0.361257
wrpy_v21_default_seq_noheap,848,1,accepted_residual_verified,accepted_residual_verified,0.022120,0.018000,0.811722,199,0.041992,2.276629,2.361398,0.084769,-0.035354
wrpy_v21_default_seq_noheap,851,1,accepted_residual_verified,accepted_residual_verified,0.021604,0.018000,0.792780,222,0.045247,2.234805,2.463925,0.229120,-0.027149
wrpy_v21_default_seq_noheap,852,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.024496,0.018000,0.898899,212,0.042318,2.486513,3.389328,0.902816,-0.122642
wrpy_v21_default_seq_noheap,871,0,v21_residual_verification_reject,residual_chi2_worse,0.042832,0.018000,2.864410,234,0.048177,2.545540,15.837664,13.292124,-0.581197
