case,stage,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,dynamic_feature_grid_coverage,v21_chi2_increase_abs,v21_chi2_inflation_ratio,v21_inlier_ratio_delta,v22_dynamic_occlusion_residual_hazard,v23_current_segment_evidence,v23_segment_active,v23_recent_evidence_hits,v23_active_until_frame
wrpy_D_v23_default,track_local_map_post_pose,72,1,,accepted_residual_verified,0.021375,0.018000,1.640535,307,0.049805,0.032552,0.007388,1.004677,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,81,1,,accepted_v23_pose_chain_context,0.025149,0.018000,1.858057,259,0.043620,0.039388,0.424511,1.187372,-0.078512,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,83,1,,accepted_v23_pose_chain_context,0.022143,0.018000,1.612967,221,0.041341,0.007812,0.284105,1.150585,-0.052381,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,115,1,,accepted_v23_pose_chain_context,0.026224,0.018000,1.761141,235,0.049479,0.016602,6.821779,3.480197,-0.395556,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,116,1,,accepted_v23_pose_chain_context,0.032978,0.018000,2.208299,241,0.046875,0.010742,18.170952,7.001380,-0.599138,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,117,1,,accepted_v23_pose_chain_context,0.047367,0.018000,3.054889,193,0.040690,0.011068,41.016488,14.302388,-0.861702,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,118,1,,accepted_v23_pose_chain_context,0.025863,0.018000,1.584387,155,0.032552,0.012370,1.253023,1.401346,-0.136986,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,119,1,,accepted_v23_pose_chain_context,0.026742,0.018000,1.573070,154,0.026367,0.031576,2.167155,1.916989,-0.200000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,120,1,,accepted_v23_pose_chain_context,0.028043,0.018000,1.591522,156,0.028320,0.035482,1.623136,1.531543,-0.210526,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,121,1,,accepted_v23_pose_chain_context,0.025503,0.018000,1.424661,203,0.032552,0.036784,0.874766,1.315030,-0.140704,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,122,1,,accepted_v23_pose_chain_context,0.027367,0.018000,1.528740,193,0.034505,0.036784,1.916447,1.784765,-0.193548,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,123,1,,accepted_residual_verified,0.018558,0.018000,1.031844,205,0.032227,0.043294,-0.001372,0.999284,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,124,1,,accepted_v23_pose_chain_context,0.023889,0.018000,1.327149,160,0.026693,0.046549,0.752757,1.317165,-0.084967,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,125,1,,accepted_v23_pose_chain_context,0.031905,0.018000,1.772521,200,0.036133,0.026042,5.300644,3.257674,-0.369231,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,126,1,,accepted_v23_pose_chain_context,0.040445,0.018000,2.246944,215,0.033203,0.024089,11.252375,5.798146,-0.539906,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,127,1,,accepted_v23_pose_chain_context,0.034690,0.018000,1.927226,203,0.033854,0.035482,6.352587,3.638179,-0.348259,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,129,1,,accepted_residual_verified,0.019736,0.018000,1.096463,206,0.033203,0.020833,0.083251,1.040338,-0.015000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,131,1,,accepted_residual_verified,0.018665,0.018000,1.036938,131,0.028320,0.028320,0.009849,1.003583,-0.007692,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,132,1,,accepted_v23_pose_chain_context,0.040476,0.018000,2.248657,199,0.033854,0.023112,16.580574,8.857359,-0.581152,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,133,1,,accepted_v23_pose_chain_context,0.047687,0.018000,2.649296,166,0.032552,0.019531,17.211743,7.783006,-0.546584,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,134,1,,accepted_v23_pose_chain_context,0.052733,0.018000,2.929606,174,0.033529,0.015299,23.942196,9.658177,-0.674556,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,135,1,,accepted_v23_pose_chain_context,0.023144,0.018000,1.285751,238,0.044596,0.013346,0.697531,1.363801,-0.063830,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,136,1,,accepted_v23_pose_chain_context,0.034414,0.018000,1.911887,218,0.044922,0.010742,8.570946,5.212703,-0.420290,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,139,1,,accepted_residual_verified,0.018549,0.018000,1.030503,258,0.044271,0.008789,0.008072,1.004586,-0.012195,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,144,1,,accepted_v23_pose_chain_context,0.042887,0.018000,2.382586,66,0.015951,0.014648,10.681196,4.982710,-0.393939,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,147,1,,accepted_v23_pose_chain_context,0.034706,0.018000,1.928138,80,0.018229,0.010742,4.219608,2.503976,-0.280000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,148,1,,accepted_v23_pose_chain_context,0.041200,0.018000,2.288889,68,0.016276,0.007812,16.688978,7.143889,-0.640625,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,149,1,,accepted_v23_pose_chain_context,0.047766,0.018000,2.653647,61,0.014974,0.009115,19.257228,7.254132,-0.639344,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,150,1,,accepted_v23_pose_chain_context,0.023463,0.018000,1.303514,71,0.017904,0.009440,0.668340,1.257498,-0.119403,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,151,1,,accepted_v23_pose_chain_context,0.027562,0.018000,1.531201,82,0.019206,0.006836,2.120535,1.851504,-0.205128,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,153,1,,accepted_v23_pose_chain_context,0.034227,0.018000,1.901508,60,0.011719,0.009115,7.505336,4.365519,-0.436364,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,154,1,,accepted_v23_pose_chain_context,0.035121,0.018000,1.951145,78,0.018555,0.011393,9.819854,4.479262,-0.525641,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,155,1,,accepted_v23_pose_chain_context,0.032106,0.018000,1.783688,93,0.020182,0.011719,3.290769,2.448395,-0.275862,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,156,1,,accepted_v23_pose_chain_context,0.054534,0.018000,3.029644,91,0.019531,0.009766,25.864923,11.197528,-0.709302,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,158,1,,accepted_residual_verified,0.021164,0.018000,1.175775,83,0.019531,0.006836,0.066681,1.027031,-0.025000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,159,1,,accepted_residual_verified,0.018428,0.018000,1.023775,103,0.022135,0.003906,-0.006795,0.996811,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,160,1,,accepted_v23_pose_chain_context,0.040820,0.018000,2.267758,120,0.023763,0.003906,25.156800,13.385568,-0.554622,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,163,1,,accepted_v23_pose_chain_context,0.027832,0.018000,1.546197,119,0.022786,0.009440,1.360303,1.788507,-0.111111,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,165,1,,accepted_residual_verified,0.019985,0.018000,1.110271,136,0.026042,0.005859,0.025557,1.012770,-0.022556,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,167,1,,accepted_residual_verified,0.019805,0.018000,1.100286,69,0.015951,0.004883,0.066164,1.027491,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,178,1,,accepted_residual_verified,0.018437,0.018000,1.024299,71,0.016927,0.003906,0.003462,1.001504,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,182,1,,accepted_residual_verified,0.029136,0.018000,1.881183,136,0.028646,0.003255,1.564451,1.912150,-0.030769,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,184,1,,accepted_residual_verified,0.018714,0.018000,1.333844,114,0.023763,0.003255,0.006998,1.003593,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,187,1,,accepted_residual_verified,0.024116,0.018000,1.836762,124,0.026693,0.007161,0.305697,1.140529,-0.025000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,189,1,,accepted_residual_verified,0.020857,0.018000,1.623143,135,0.029297,0.003581,0.023192,1.012523,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,193,1,,accepted_residual_verified,0.018521,0.018000,1.410587,159,0.034180,0.003906,0.006813,1.003394,-0.006623,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,194,1,,accepted_v23_pose_chain_context,0.029792,0.018000,2.269051,154,0.034831,0.004883,1.407673,1.664853,-0.140940,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,196,1,,accepted_v23_pose_chain_context,0.035448,0.018000,2.682833,101,0.020833,0.005208,4.063011,2.769695,-0.277228,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,197,1,,accepted_v23_pose_chain_context,0.050668,0.018000,3.834711,125,0.029948,0.005208,13.528437,6.142274,-0.472000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,198,1,,accepted_v23_pose_chain_context,0.025303,0.018000,1.914985,176,0.041667,0.005208,0.362402,1.153204,-0.076023,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,199,1,,accepted_v23_pose_chain_context,0.051808,0.018000,3.658068,114,0.026042,0.003906,4.742407,3.171159,-0.265487,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,200,1,,accepted_v23_pose_chain_context,0.079423,0.018000,5.084518,143,0.030924,0.002604,38.130590,16.093838,-0.584507,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,201,1,,accepted_v23_pose_chain_context,0.036059,0.018000,2.308402,120,0.030924,0.003906,1.393191,1.554397,-0.163793,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,202,1,,accepted_v23_pose_chain_context,0.039608,0.018000,2.418436,109,0.026367,0.002604,1.179251,1.430430,-0.129630,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,203,1,,accepted_v23_pose_chain_context,0.068172,0.018000,4.004971,134,0.032227,0.000000,45.975741,18.581730,-0.664179,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,204,1,,accepted_residual_verified,0.018230,0.018000,1.028422,156,0.037435,0.000000,0.006704,1.002264,-0.012821,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,206,1,,accepted_v23_pose_chain_context,0.063914,0.018000,3.550822,170,0.040039,0.000000,14.702237,7.076043,-0.547059,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,207,1,,accepted_v23_pose_chain_context,0.039309,0.018000,2.183868,152,0.034831,0.000000,8.027439,4.051750,-0.414474,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,209,1,,accepted_residual_verified,0.024964,0.018000,1.386889,197,0.044922,0.000000,0.332119,1.151202,-0.045685,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,210,1,,accepted_v23_pose_chain_context,0.037216,0.018000,2.067558,233,0.049479,0.000000,6.397051,3.814736,-0.386266,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,212,1,,accepted_residual_verified,0.020565,0.018000,1.142524,168,0.037435,0.000651,0.019465,1.006838,-0.018293,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,213,1,,accepted_v23_pose_chain_context,0.028019,0.018000,1.556633,216,0.045898,0.003255,1.333503,1.581411,-0.157407,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,214,1,,accepted_v23_pose_chain_context,0.033363,0.018000,1.853489,220,0.043294,0.002604,3.051603,2.224568,-0.256881,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,215,1,,accepted_residual_verified,0.020680,0.018000,1.148909,139,0.035156,0.001302,0.095951,1.038567,-0.029851,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,216,1,,accepted_residual_verified,0.021060,0.018000,1.170007,187,0.041016,0.002604,0.251976,1.102049,-0.037838,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,217,1,,accepted_v23_pose_chain_context,0.038604,0.018000,2.144695,205,0.042318,0.003906,7.366684,4.004820,-0.369458,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,218,1,,accepted_v23_pose_chain_context,0.040397,0.018000,2.244266,99,0.024414,0.003581,15.953168,7.350989,-0.556701,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,219,1,,accepted_v23_pose_chain_context,0.036339,0.018000,2.018853,180,0.036133,0.005534,11.209802,4.695787,-0.527778,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,220,1,,accepted_v23_pose_chain_context,0.035622,0.018000,1.978991,200,0.041341,0.005208,7.328304,3.786888,-0.410256,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,222,1,,accepted_v23_pose_chain_context,0.055100,0.018000,3.061102,190,0.036784,0.007161,29.009837,11.197543,-0.695187,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,223,1,,accepted_v23_pose_chain_context,0.099220,0.018000,5.512250,162,0.032878,0.006510,130.941167,55.802360,-0.974359,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,224,1,,accepted_v23_pose_chain_context,0.024997,0.018000,1.388727,97,0.025391,0.007487,1.240747,1.439570,-0.147368,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,225,1,,accepted_v23_pose_chain_context,0.026421,0.018000,1.467844,214,0.043945,0.005534,1.701942,1.715721,-0.200000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,226,1,,accepted_v23_pose_chain_context,0.022782,0.018000,1.265642,230,0.044596,0.007487,0.395961,1.179958,-0.075893,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,227,1,,accepted_residual_verified,0.021587,0.018000,1.199268,202,0.041667,0.004557,0.183662,1.071932,-0.025773,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,228,1,,accepted_residual_verified,0.019861,0.018000,1.103412,228,0.043945,0.005859,0.078536,1.029024,-0.041667,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,229,1,,accepted_v23_pose_chain_context,0.026704,0.018000,1.483556,238,0.042318,0.006185,2.304536,1.911054,-0.212389,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,230,1,,accepted_v23_pose_chain_context,0.029803,0.018000,1.655734,270,0.047526,0.009766,0.585716,1.275189,-0.070896,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,231,1,,accepted_v23_pose_chain_context,0.034104,0.018000,1.894679,280,0.048503,0.013997,3.610578,2.819386,-0.258065,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,235,1,,accepted_residual_verified,0.019888,0.018000,1.104877,224,0.037435,0.019206,0.062874,1.025890,-0.023041,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,238,1,,accepted_v23_pose_chain_context,0.021095,0.018000,1.171962,243,0.045573,0.006185,0.204111,1.077231,-0.051502,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,239,1,,accepted_v23_pose_chain_context,0.035913,0.018000,1.995146,225,0.036133,0.005208,7.724316,4.121964,-0.448113,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,240,1,,accepted_v23_pose_chain_context,0.071506,0.018000,3.972577,159,0.028320,0.009115,88.366747,31.553544,-0.951049,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,241,1,,accepted_v23_pose_chain_context,0.023478,0.018000,1.304315,164,0.033203,0.008138,0.749436,1.271513,-0.119497,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,242,1,,accepted_v23_pose_chain_context,0.066961,0.018000,3.720049,207,0.040365,0.010742,28.372895,12.652879,-0.703883,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,243,1,,accepted_v23_pose_chain_context,0.057585,0.018000,3.199160,198,0.041341,0.014974,7.498850,4.087875,-0.451282,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,255,1,,accepted_v23_pose_chain_context,0.029349,0.018000,1.630522,180,0.030924,0.013346,3.014665,2.261201,-0.290503,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,256,1,,accepted_v23_pose_chain_context,0.032965,0.018000,1.831366,191,0.035156,0.018229,2.994180,2.373304,-0.200000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,258,1,,accepted_residual_verified,0.019608,0.018000,1.117352,199,0.036458,0.016276,0.043309,1.020774,-0.015152,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,259,1,,accepted_v23_pose_chain_context,0.025212,0.018000,1.436679,180,0.035482,0.015951,0.828807,1.373747,-0.100559,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,268,1,,accepted_residual_verified,0.019771,0.018000,1.294752,199,0.038411,0.013672,0.044035,1.024134,-0.010152,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,269,1,,accepted_residual_verified,0.018524,0.018000,1.213103,220,0.042318,0.015951,0.003680,1.002157,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,271,1,,accepted_v23_pose_chain_context,0.026619,0.018000,1.808496,172,0.032878,0.014974,0.545446,1.223961,-0.088235,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,272,1,,accepted_residual_verified,0.018010,0.018000,1.223609,222,0.039714,0.015625,0.000016,1.000009,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,274,1,,accepted_residual_verified,0.018276,0.018000,1.335152,149,0.029948,0.015625,0.000059,1.000027,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,278,1,,accepted_v23_pose_chain_context,0.027834,0.018000,2.033407,109,0.021484,0.020182,1.185226,1.523291,-0.142857,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,286,1,,accepted_v23_pose_chain_context,0.027221,0.018000,1.958970,137,0.032552,0.021810,3.630069,2.258660,-0.312977,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,290,1,,accepted_residual_verified,0.026990,0.018000,1.942359,183,0.038411,0.015299,0.169242,1.072361,-0.027933,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,291,1,,accepted_v23_pose_chain_context,0.025859,0.018000,1.860971,194,0.037435,0.017578,1.318498,1.708980,-0.129534,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,293,1,,accepted_v23_pose_chain_context,0.036995,0.018000,2.662336,216,0.042318,0.014974,0.791538,1.356579,-0.083721,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,295,1,,accepted_residual_verified,0.018287,0.018000,1.316057,142,0.032552,0.014323,-0.001091,0.999627,-0.007092,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,296,1,,accepted_v23_pose_chain_context,0.036615,0.018000,2.603145,183,0.038411,0.017904,4.107251,2.688942,-0.313187,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,297,1,,accepted_v23_pose_chain_context,0.025905,0.018000,1.760012,242,0.045898,0.014323,1.166628,1.557246,-0.115702,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,299,1,,accepted_v23_pose_chain_context,0.031001,0.018000,2.204002,258,0.049479,0.000000,1.349452,1.633806,-0.139535,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,312,1,,accepted_v23_pose_chain_context,0.026631,0.018000,1.612173,228,0.048503,0.000000,1.256766,1.480574,-0.149123,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,319,1,,accepted_residual_verified,0.018529,0.018000,1.080683,123,0.027669,0.000000,-0.003450,0.998701,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,320,1,,accepted_residual_verified,0.019871,0.018000,1.121939,233,0.043294,0.000000,0.037675,1.014847,-0.025751,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,393,1,,accepted_residual_verified,0.018332,0.018000,1.563305,259,0.048503,0.001302,0.002098,1.000800,-0.003861,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,421,1,,accepted_residual_verified,0.020979,0.018000,2.062867,141,0.029622,0.013346,0.074178,1.031322,-0.021739,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,452,1,,accepted_residual_verified,0.007121,0.006720,1.907426,127,0.027018,0.000000,0.000289,1.000174,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,453,1,,accepted_residual_verified,0.008108,0.007096,2.056791,129,0.027995,0.000000,0.001808,1.001146,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,456,1,,accepted_residual_verified,0.010824,0.007096,2.745691,155,0.033203,0.000000,0.022926,1.016717,-0.006452,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,460,1,,accepted_residual_verified,0.015199,0.006527,4.191533,109,0.025391,0.000326,0.161062,1.075413,-0.036697,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,464,1,,accepted_v23_pose_chain_context,0.018459,0.007096,4.682616,178,0.036133,0.000000,1.103617,1.667711,-0.089888,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,466,1,,accepted_v23_pose_chain_context,0.017796,0.007353,4.356333,180,0.038737,0.000000,0.637145,1.356153,-0.077778,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,467,1,,accepted_residual_verified,0.011535,0.007545,2.752018,180,0.040365,0.000000,0.096234,1.059517,-0.011111,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,468,1,,accepted_residual_verified,0.010548,0.007937,2.391959,168,0.034505,0.000000,0.079923,1.039265,-0.023810,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,471,1,,accepted_residual_verified,0.012963,0.008361,2.790621,165,0.036784,0.000000,0.131750,1.054551,-0.030303,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,474,1,,accepted_v23_pose_chain_context,0.039867,0.008598,8.346065,104,0.026693,0.000000,8.154523,4.208501,-0.394231,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,475,1,,accepted_residual_verified,0.010022,0.008759,2.059678,131,0.032227,0.000000,-0.020650,0.991809,-0.007634,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,477,1,,accepted_v23_pose_chain_context,0.063019,0.008759,12.951187,139,0.034180,0.000000,30.702841,12.182167,-0.719424,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,478,1,,accepted_v23_pose_chain_context,0.055030,0.009167,10.805198,98,0.025391,0.000000,28.690143,12.081020,-0.632653,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,480,1,,accepted_residual_verified,0.015841,0.011665,2.444367,228,0.049479,0.000000,0.248799,1.099255,-0.043860,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,481,1,,accepted_v23_pose_chain_context,0.015864,0.011923,2.394950,230,0.044922,0.000000,0.424118,1.151659,-0.078261,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,548,1,,accepted_v23_pose_chain_context,0.020981,0.016624,2.271698,321,0.049154,0.000000,0.493303,1.211553,-0.056075,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,549,1,,accepted_v23_pose_chain_context,0.030023,0.016624,3.250737,301,0.043620,0.000000,4.492965,2.573633,-0.352159,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,571,1,,accepted_v23_pose_chain_context,0.017783,0.013396,2.389461,161,0.021484,0.012044,0.913572,1.397121,-0.056604,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,572,1,,accepted_residual_verified,0.015144,0.014083,1.935597,118,0.016602,0.008789,0.019575,1.007531,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,575,1,,accepted_v23_pose_chain_context,0.026107,0.016708,2.812520,124,0.018880,0.012695,5.963706,4.064427,-0.450820,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,578,1,,accepted_v23_pose_chain_context,0.047691,0.018000,4.361275,135,0.019857,0.015951,50.233880,20.378813,-0.976923,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,579,1,,accepted_v23_pose_chain_context,0.098078,0.018000,8.969075,57,0.012695,0.015951,197.657866,53.511353,-1.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,580,1,,accepted_v23_pose_chain_context,0.106265,0.018000,9.717791,37,0.009115,0.014648,230.521487,80.960654,-1.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,581,1,,accepted_v23_pose_chain_context,0.114660,0.018000,10.485494,188,0.025065,0.013672,267.842523,109.597688,-1.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,582,1,,accepted_v23_pose_chain_context,0.113226,0.018000,10.354326,153,0.020833,0.009440,269.573957,108.052928,-1.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,583,1,,accepted_v23_pose_chain_context,0.181796,0.018000,14.295448,84,0.016602,0.017904,823.841474,231.228683,-1.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,584,1,,accepted_v23_pose_chain_context,0.045050,0.018000,3.542458,51,0.010742,0.015951,15.599986,8.233530,-0.625000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,586,1,,accepted_v23_pose_chain_context,0.035258,0.018000,2.659714,110,0.020182,0.022786,8.032160,4.166183,-0.523364,0,1,0,1,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,587,1,,accepted_v23_pose_chain_context,0.039156,0.018000,2.852540,182,0.028971,0.016276,8.223642,4.297435,-0.505618,0,0,0,1,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,604,1,,accepted_residual_verified,0.018765,0.018000,1.286937,285,0.046549,0.015299,0.011334,1.004975,0.000000,0,0,0,0,-1000000000
wrpy_D_v23_default,track_local_map_post_pose,605,1,,accepted_v23_pose_chain_context,0.027349,0.018000,1.815733,190,0.037109,0.010091,1.864810,1.690049,-0.173684,0,0,0,0,-1000000000
